Unnamed: 0,class,user,userLink,tweet,date,cleaned_tweet,aspect,sentiment
20,insects,Mike Neaverson,https://twitter.com/MikeNeaverson,@michaelgove I’m spraying the second broad spectrum insecticide Hallmark on some of my wheat to control aphids that spread the potentially devastating Yellow Dwarf Virus. Most of my wheat is treated with #neonic seed dressing and needs no other insecticides all year. Progress?,2017-11-09T09:53:21.000Z,michaelgove I spray second broad spectrum insecticide hallmark wheat control aphid spread potentially devastating yellow dwarf virus wheat treat neonic seed dress need insecticide year progress,"usage,pest","neutral,negative"
21,insects,DPIRD Broadacre - WA Grains & Livestock,https://twitter.com/DPIRDbroadacre,Spraying green peach aphids only advised if crop can’t outgrow damage as aphids resistant to common insecticides http://ow.ly/OpRmy,2015-06-22T04:10:19.000Z,spray green peach aphids advise crop outgrow damage aphid resistant common insecticide,"usage,toxicity,pest","neutral,negative,negative"
22,insects,BASF Agricultural Solutions,https://twitter.com/BASFAgro,Have you heard? Versys & Sefina powered by #Inscalis targeting aphids psyllids & whiteflies are the first of several new #insecticides for BASF. These fit well with other insecticides as a rotational partner reducing resistance issues. @growingproduce,2019-02-21T15:19:57.000Z,hear versys   sefina power inscalis target aphids psyllids   whitefly first several new insecticide basf fit well insecticide rotational partner reduce resistance issue growingproduce,pest,positive
23,insects,Horton Seed Services,https://twitter.com/hortonseed,Aphids now at threshold. If beneficial insect pops are low time to spray. #aphids #insecticides,2016-04-28T18:57:22.000Z,aphid threshold beneficial insect pop low time spray aphid insecticide,"pest,usage","negative,neutral"
24,insects,Dan Foster,https://twitter.com/Dan_Foster_,@AMcRaeStevanus from @BASFCanada talking to the @PRIDESEEDS dealers about new insecticides. Specifically soybean aphids and new Options for control.,2018-09-18T14:45:31.000Z,amcraestevanus basfcanada talk prideseed dealer new insecticide specifically soybean aphid new option control,control methods,neutral
25,insects,darwin danielle,https://twitter.com/darwindanielle,Garden Q&A: Ways to control aphids without resorting to insecticides: Whats the best way to control aphids in m... http://bit.ly/Nv75AT,2012-07-07T06:58:11.000Z,garden qa way control aphid without resort insecticide good way control aphid,pest,neutral
26,insects,Chris Angelo,https://twitter.com/ChangeloAngelo,Winter is the ideal time to feed medicate and aerate while your landscape sleeps. Your plants will be ready for healthy new growth in the spring! Ensure vibrant growth and colors with deep-root fertilizers for your plants and eliminate aphids by applying insecticides.,2023-01-12T19:01:19.000Z,winter ideal time feed medicate aerate landscape sleep plant ready healthy new growth spring ensure vibrant growth color deeproot fertilizer plant eliminate aphid apply insecticide,"safety,pest","positive,positive"
27,insects,Journal of Applied Ecology,https://twitter.com/JAppliedEcology,Sown flower strips are effective in suppressing potato aphids & may help reduce insecticides http://ow.ly/ZKbVL,2016-03-22T17:40:34.000Z,sown flower strip effective suppress potato aphids   may help reduce insecticide,effectiveness,positive
28,insects,Julian Marshall,https://twitter.com/MarshallJulian,Env impact dropping for corn cotton (GMOs: less pesticides) increasing for soybean (more insecticides for aphids). http://iopscience.iop.org/article/10.1088/1748-9326/10/9/094016…,2015-10-05T20:51:18.000Z,env impact drop corn cotton gmos less pesticide increase soybean insecticide aphid,pest,neutral
29,insects,BASF Agricultural Solutions Australia,https://twitter.com/BASF_Agro_Au,Have you tried #Versys Insecticidess 5-star control on Aphids and suppression on Silverleaf Whiteflies? Versys offers: - New Chemistry- Low Impact- Less Virus Risk-Affects All Stages of Aphids- Short WHPsFind out more here:https://crop-solutions.basf.com.au/products/versys,2019-01-31T03:26:46.000Z,try versys insecticidess 5star control aphid suppression silverleaf whitefly versys offer   new chemistry low impact less virus riskaffect stage aphid short whpsfind,control methods,positive
30,insects,Nichino India,https://twitter.com/NichinoIndia,Tychi - The Geniune All-rounder.A perfect solution for sucking pest in chilli Tychi has double power of insecticides and fungicides. It effectively controls aphids thrips and diseases like powdery mildew and anthracnose.#NichinoIndia #Tychi #Insecticides #Pesticides #Aphids,2023-02-01T11:56:09.000Z,tychi   geniune allroundera perfect solution suck pest chilli tychi double power insecticide fungicide effectively control aphids thrip disease like powdery mildew anthracnosenichinoindia tychi insecticide pesticide aphids,pest,positive
31,insects,AFEntomology,https://twitter.com/AFEntomology,Sensitivity of cereal aphids to pyrethroid insecticides not influenced by common facultative endosymbionts: @danielleybourne @ZooBiodiv https://resjournals.onlinelibrary.wiley.com/doi/10.1111/afe.12539… @AvHStiftung #pest #management,2022-10-12T12:00:01.000Z,sensitivity cereal aphid pyrethroid insecticide influence common facultative endosymbiont danielleybourne zoobiodiv   avhstiftung pest management,pest,neutral
32,insects,Entomological Society of America,https://twitter.com/EntsocAmerica,Sulfoxaflor Found to Be Less Harmful to Beneficial Predators of Soybean Aphids than Broad-Spectrum Insecticides: https://entomologytoday.org/2016/08/17/sulfoxaflor-found-to-be-less-harmful-to-beneficial-predators-of-soybean-aphids/…,2016-08-17T13:21:23.000Z,sulfoxaflor find less harmful beneficial predator soybean aphid broadspectrum insecticide,"toxicity,pest","positive,negative"
33,insects,FMC Ag US,https://twitter.com/FMCAgUS,The only way to prevent #potato virus Y and zebra chip disease? Frequently scout fields for psyllids and aphids and employ insecticides before populations get established. Want to see more of #TheMinute? Watch the series now by tapping on our #linkinbio!,2019-05-29T14:30:00.000Z,way prevent potato virus zebra chip disease frequently scout field psyllid aphid employ insecticide population get establish want see theminute watch series tap linkinbio,control methods,neutral
34,insects,Owen Taylor,https://twitter.com/midwestgrain,Minnesota: Soybean Aphids - 2 New Insecticides Available https://rlm.ag/1moUPE,2019-07-19T20:57:15.000Z,minnesota soybean aphids   2 new insecticide available,overall,neutral
35,insects,Charlotte Westwood,https://twitter.com/CharlottePGWS,Turnip mosaic virus in leafy turnip summer crop. Spread from plant to plant by aphids. Hard to control... by time plants are affected aphids often have moved on so insecticides not always useful & cause grazing withholding period issues,2018-01-25T20:50:26.000Z,turnip mosaic virus leafy turnip summer crop spread plant plant aphid hard control time plant affect aphid often move insecticide always useful   cause graze withholding period issue,pest,negative
36,insects,Syngenta Ornamentals Kenya,https://twitter.com/SyngentaOCKE,Just 7 days. Thats how long an #aphid takes to go from birth to adulthood and to reproducing. Population growth is  explosive .Syngenta #insecticides to treat #aphids here https://syngentaornamentals.co.ke/aphids,2020-06-11T03:46:17.000Z,7 day long aphid take go birth adulthood reproduce population growth   explosive syngenta insecticide treat aphid,pest,neutral
37,insects,Henan Vision Agricultural Science & Technology Co,https://twitter.com/HenanVision,Why Aphids Are Difficult to Treat? You Have To Know Following Ways to Kill Aphids.#Biologicalpesticides#insecticides#Aphids,2021-03-04T09:17:34.000Z,aphid difficult treat know follow way kill aphidsbiologicalpesticidesinsecticidesaphid,pest,neutral
38,insects,Department of Plant Sciences,https://twitter.com/plantsci,New model out in @PLOSCompBiol by our @nikcunniffe  shows how #insecticides can promote the spread of certain plant viruses  By killing resident #aphids transient aphids face less competition  shaping plant disease dynamics  #planthealthRead paper http://bit.ly/3G7fmvl,2022-01-10T08:50:02.000Z,new model ploscompbiol nikcunniffe   show insecticide promote spread certain plant virus   kill resident aphids transient aphid face less competition   shape plant disease dynamic   planthealthread paper,pest,negative
39,insects,Alexander J. Stein,https://twitter.com/AJStein_de,Aphids cause huge losses to #soybean farmers worth billions of dollars. New resistance genes help develop more resistant varieties. Currently #insecticides are used to control #aphids. Using resistant varieties is an alternative to insecticides: https://agronomy.org/news/media-inquiries/releases/2018/0829/1025/… #breeding,2018-08-30T18:52:49.000Z,aphid cause huge loss soybean farmer worth billion dollar new resistance gene help develop resistant variety currently insecticide use control aphid use resistant variety alternative insecticide   breed,"pest,usage","negative,positive"
40,insects,Steven Newman,https://twitter.com/newman_se,Greenhouse labelled insecticides #aphids #fungusgnats http://slideshare.net/kpanter/greenhouse-labelled-insecticides… via @SlideShare,2015-01-07T15:33:57.000Z,greenhouse label insecticide aphids fungusgnat   via slideshare,overall,neutral
41,insects,Dibo Willis-Ambetsa,https://twitter.com/dibowillis,Ladybirds are threatened with extinction due to #climatechange & pesticides among other things.  But they are an essential part of the ecosystem and help farmers deal with aphids. Better than toxic insecticides!Its sad that their numbers are dwindling by the day.,2023-03-27T14:24:03.000Z,ladybird threaten extinction due climatechange   pesticide among thing   essential part ecosystem help farmer deal aphid well toxic insecticidesit sad number dwindle day,"pest,toxicity","negative,negative"
42,insects,Insect Molecular Biology,https://twitter.com/InsectMolecBio,Chemosensory proteins participate in insecticide susceptibility in Rhopalosiphum padi a serious pest on wheat crops #Hemiptera #aphids #cropprotection #insecticides #entomology https://onlinelibrary.wiley.com/doi/10.1111/imb.12683…,2020-12-17T07:25:02.000Z,chemosensory protein participate insecticide susceptibility rhopalosiphum padi serious pest wheat crop hemiptera aphids cropprotection insecticides entomology,pest,neutral
43,insects,Molecular Entomology/Toprak Lab,https://twitter.com/molenlab,Molen received a new industrial-based  2 year funding worth to 4.5 million liras on the development of dsRNA-based insecticides against aphids in collaboration with Dr. Steve Whyard of University of Manitoba Canada! http://molenlab.com/new-funding-to-molen-on-rnai/… @necdetunuvar @Hasan_H_ATAR @alisinag,2022-03-19T15:09:05.000Z,molen receive new industrialbase 2 year funding worth 45 million lira development dsrnabase insecticide aphid collaboration dr steve whyard university manitoba canada   necdetunuvar hasan_h_atar alisinag,pest,neutral
44,insects,Grazyna Jasienska,https://twitter.com/GJasienska,My gardens best friends hard at work helping with infestation of aphids. I dont use any insecticides so Im rooting for ladybugs.,2020-05-24T11:00:56.000Z,garden good friend hard work help infestation aphid I use insecticide I root ladybug,control methods,positive
45,insects,Georgie Bray,https://twitter.com/georgiewildbray,#NatureFriendlyFarmingWeek in action at #RSPBHopeFarmNo insecticides organic matter to feed the crops and soil biology @OakbankGame companion crop and trap crop to protect against CSFBFull of beneficial insects in action on aphids and tonnes of birds! @FarmWildlifeUK,2022-05-20T13:56:22.000Z,naturefriendlyfarmingweek action rspbhopefarmno insecticide organic matter feed crop soil biology oakbankgame companion crop trap crop protect csfbfull beneficial insect action aphid tonne bird farmwildlifeuk,"safety,pest","positive,negative"
46,insects,LSU AgCenter,https://twitter.com/LSUAgCenter,Monarch caterpillars feed only on milkweed plants (Asclepias).  Please do not treat the aphids on the plant with insecticides as this could become an issue for the caterpillars. @MargaretOrr,2022-05-07T13:35:03.000Z,monarch caterpillar feed milkwee plant asclepia   please treat aphid plant insecticide could become issue caterpillar margaretorr,pest,neutral
47,insects,Simon Leather,https://twitter.com/EntoProf,Field - can we control aphids without insecticides? The failed alarm pheromone treatment - worked in lab but not in the field - I hypothesised habituation as reason  #ento18,2018-08-30T13:42:54.000Z,field   control aphid without insecticide fail alarm pheromone treatment   work lab field   I hypothesise habituation reason   ento18,control methods,neutral
48,insects,Matthew Wilde,https://twitter.com/wildeagwriter,Cotton Ahids pick up CLRDV from weeds like pigweed and transfer it to cotton when feeding on it. But early research shows trying to control the aphids with insecticides dont stop the virus spread.,2020-01-09T15:33:18.000Z,cotton ahid pick clrdv weed like pigweed transfer cotton feed early research show try control aphid insecticide stop virus spread,pest,negative
49,insects,OrganicFarm Research,https://twitter.com/OFRF,Flowers and beneficial insects eliminate aphids without systemic insecticides. http://fb.me/1vHyQlzH5,2015-01-22T04:41:19.000Z,flower beneficial insect eliminate aphid without systemic insecticide,control methods,positive
50,insects,Peter Johnson,https://twitter.com/WheatPete,Aphids at threshold #wheat Kent Bridge. Good eyes Bryan Stennett. Armyworm at low levels. AW insecticides control aphids #ontag,2012-05-22T20:17:47.000Z,aphid threshold wheat kent bridge good eye bryan stennett armyworm low level aw insecticides control aphids ontag,pest,positive
51,insects,John Kempf,https://twitter.com/realJohnKempf,Preventing/treating aphids with nutritional foliars/seed treatment is as effective as insecticides and inexpensive. I am happy to get on a video conference and describe our successful approach if a group of farmers and agronomists are committed to giving it a shot.,2021-01-13T13:20:00.000Z,preventingtreate aphid nutritional foliarsseed treatment effective insecticide inexpensive I happy get video conference describe successful approach group farmer agronomist commit give shot,"pest,effectiveness","negative,positive"
52,insects,potatoes.news,https://twitter.com/potatosystem1,GardenPests: The Battle Against Aphids – Aphis spp#GardenPests #Aphids #AphisSpp #PlantDamage #BeneficialInsects #Insecticides #ControlMethods Aphids scientifically known as Aphis spp. are tiny garden pests that can cause significant damage to plants...https://vegetables.news/gardenpests-the-battle-against-aphids-aphis-spp/agrotechnology/…,2023-04-17T06:14:35.000Z,gardenpest battle aphid   aphis sppgardenpests aphids aphisspp plantdamage beneficialinsect insecticides controlmethods aphids scientifically know aphis spp tiny garden pest cause significant damage plant,"pest,toxicity","negative,negative"
53,insects,Genetic Literacy Project,https://twitter.com/GeneticLiteracy,Sugar beet crops in France have been ravaged by aphids. Farmers need neonicotinoid insecticides. https://geneticliteracyproject.org/?p=2331192 @FarmersWeekly,2020-08-11T20:20:00.000Z,sugar beet crop france ravage aphids farmer need neonicotinoid insecticide   farmersweekly,overall,negative
54,insects,quippd Science News,https://twitter.com/quippdScience,Fewer aphids in organic crop fields: Farmers who spray insecticides against aphids as a preventative measure onl... http://bit.ly/o3Fahe,2011-07-13T14:23:26.000Z,aphid organic crop field farmer spray insecticide aphid preventative measure onl,"pest,safety,usage","positive,positive,negative"
55,insects,EurekaMag,https://twitter.com/EurekaMag,Effect of Conventional and Neonicotinoid Insecticides Against Aphids on Canola Brassica napus L. at Multan and Dera Ghazi Khan http://dlvr.it/SJnKLC,2022-02-11T09:04:04.000Z,effect conventional neonicotinoid insecticide aphid canola brassica napus l multan dera ghazi khan,"effectiveness,pest","neutral,negative"
56,insects,BioSciences Postgraduate Society,https://twitter.com/biops_unimelb,Well be hearing from @ashritha_dorai about microbial communities within aphids and their interactions with insecticides at #BioSymp23 this Friday. Come along to learn about the function of microbial symbiosis and control strategies for pesticide resistant plants!,2023-05-30T01:43:38.000Z,well hear ashritha_dorai microbial community within aphid interaction insecticide biosymp23 friday come along learn function microbial symbiosis control strategy pesticide resistant plant,pest,neutral
57,insects,Diabetes Foundation of Mississippi,https://twitter.com/MSDiabetes,Another reason to try organic gardening techniques such as spraying soapy water on aphids- insecticides may... http://fb.me/66MMspEft,2017-01-24T11:24:03.000Z,another reason try organic gardening technique spray soapy water aphid insecticide may,"safety,usage,pest","positive,positive,negative"
58,insects,Earth Watch,https://twitter.com/Earth__Watch,@physorg_com: Fewer aphids in organic crop fields. Farmers who spray insecticides against aphids as a preventative ... http://bit.ly/oQTpSe,2011-07-13T13:57:02.000Z,physorg_com aphid organic crop field farmer spray insecticide aphid preventative  ,"pest,safety,usage","positive,positive,negative"
59,insects,Science News,https://twitter.com/topsciencenews,#Red_Orbit Fewer Aphids In Organic Crop Fields: Farmers who spray insecticides against aphids as a preventative ... http://bit.ly/qyCp2q,2011-07-13T20:20:21.000Z,red_orbit aphid organic crop field farmer spray insecticide aphid preventative  ,"pest,safety,usage","positive,positive,negative"
60,insects,NatlCottonCouncil,https://twitter.com/NCottonCouncil,Aphid Management in CottonResearch on cotton aphid management shows while no insecticide can eliminate aphids effective insecticides can reduce plant stress associated with aphid feeding.More from @farmpress http://ow.ly/bfCp30rv6s8,2021-02-02T01:30:04.000Z,aphid management cottonresearch cotton aphid management show insecticide eliminate aphid effective insecticide reduce plant stress associate aphid feedingmore farmpress,"pest,effectiveness","negative,neutral"
61,insects,Riari Agri Hub,https://twitter.com/RiariAgriHub,To control aphids do proper land hygiene by removing all volunteer crops or weeds which harbour aphids also use effective insecticides when you spot aphids when scouting your farm.,2023-08-15T05:38:42.000Z,control aphid proper land hygiene remove volunteer crop weed harbour aphid also use effective insecticide spot aphid scout farm,control methods,neutral
62,insects,ATTRA,https://twitter.com/ATTRASustainAg,Question of the WeekHow can I control aphids?Using insecticides will harm the good insects along with the bad so spraying all season is seldom beneficial or economical. Read more about it here: https://attra.ncat.org/how-can-i-control-aphids/…,2020-06-27T13:02:28.000Z,question weekhow I control aphidsuse insecticide harm good insect along bad spray season seldom beneficial economical read,usage,negative
63,insects,Plant Health Aust,https://twitter.com/planthealthaust,Trials run by @cesaraustralia on green peach aphids has found the #canola industry must seek alternatives to insecticides for control of green peach aphids and the damaging virus it spreads. Read more: http://bit.ly/3ZctKMB. #biosecurity #planthealth,2023-03-16T22:00:53.000Z,trial run cesaraustralia green peach aphids find canola industry must seek alternative insecticide control green peach aphids damaging virus spread read   biosecurity planthealth,pest,neutral
64,insects,Wes,https://twitter.com/kipkurgatwesley,Those are aphids.Controlled by use of insecticides -Cypermetrin-lambda-cyhalothrin.You can also consider showering the crops by use of sprinklers to wash them down.,2023-12-05T12:43:24.000Z,aphidscontrolle use insecticide cypermetrinlambdacyhalothrinyou also consider shower crop use sprinkler wash,usage,positive
65,insects,Agri Farming,https://twitter.com/AgrifarmingIn,7 Best Insecticides for Aphids on Plants: Sprays Natural Chemical Organic and Systemic Insecticides,2023-12-05T12:43:24.000Z,7 good insecticide aphid plant spray natural chemical organic systemic insecticide,"pest,usage,toxicity,safety","positive,positive,positive,positive"
67,insects,Lorraine Lanning,https://twitter.com/Common_SenseCO,The best pesticides are birds & amphibians saw it work in my own backyard. Tried everything to get rid of aphids nothing worked. Put a suet feeder in tree attracted all the insecticides no more aphids. But mono-ag destroys habitat for birds & amphibians.,2019-12-10T16:30:27.000Z,good pesticide bird   amphibian see work backyard try everything get rid aphid nothing work put suet feeder tree attract insecticide aphid monoag destroy habitat bird   amphibian,control methods,negative
68,insects,Kevin Jones,https://twitter.com/KevinEtonWick,Hot summer and not a single aphid on my runner beans.  1976 had plagues of ladybirds feeding on plagues of aphids. Agricultural insecticides have become very effect .,2018-08-22T15:16:14.000Z,hot summer single aphid runner bean   1976 plague ladybird feed plague aphids agricultural insecticide become effect,"pest,effectiveness","negative,positive"
69,insects,EurekAlert!,https://twitter.com/EurekAlert,Bluegreen aphids threaten global #Crops as they become resistant to insecticides Australian researchers warn. @SCIupdate,2024-01-17T20:50:00.000Z,bluegreen aphid threaten global crop become resistant insecticide australian researcher warn sciupdate,pest,negative
70,insects,Lysistrata M Taylor,https://twitter.com/dollyllamaX10,Ladybugs eat aphids. Insecticides kill the helpful bugs too.,2022-11-06T13:44:54.000Z,ladybug eat aphid insecticide kill helpful bug,control methods,negative
71,insects,Farms.com Ontario,https://twitter.com/OntAg,RT @wheatpete: Aphids at threshold #wheat Kent Bridge. Good eyes Bryan Stennett. Armyworm at low levels. AW insecticides control aphids...,2012-05-22T20:46:10.000Z,rt wheatpete aphid threshold wheat kent bridge good eye bryan stennett armyworm low level aw insecticides control aphids,pest,neutral
72,insects,Phil Chandler,https://twitter.com/BarefootBee,@RoyalHortSoc Why are you promoting bee-killing insecticides against aphids when they are food for ladybirds? @RoyEntSoc @BeeStrawbridge,2013-11-15T08:19:20.000Z,royalhortsoc promote beekille insecticide aphid food ladybird royentsoc beestrawbridge,pest,negative
73,insects,RossHarrington,https://twitter.com/RossWHarrington,Could they not use biological control such as lacewing and ladybird larvae?  Not sure how well they would work but they love eating aphids.These insecticides will be killing all of them too and the worldwide  insect population crash is horrifying.,2021-01-10T14:50:04.000Z,could use biological control lacewe ladybird larvae   sure well would work love eat aphidsthese insecticide kill worldwide   insect population crash horrify,control methods,negative
74,insects,Mike Neaverson,https://twitter.com/MikeNeaverson,Instead we are left with a number of foliar applied broad-spectrum insecticides to control the aphids mostly on emergency approvals. None of them are very effective.,2020-11-12T21:08:39.000Z,instead leave number foliar apply broadspectrum insecticide control aphid mostly emergency approval none effective,"pest,effectiveness","negative,negative"
76,insects,Katherine C. James,https://twitter.com/Kcecelia,@andevers Seriously?!? That is terrible. I had an organic gardner for my house in Palo Alto in 1997. He dealt with aphids w/o insecticides.,2011-07-23T16:05:31.000Z,andever seriously terrible I organic gardner house palo alto 1997 deal aphid insecticide,"safety,pest","positive,negative"
77,insects,Benica_Wa_Molimi,https://twitter.com/BenicaTheFarmer,Looks like Aphids to me. Spray Methomex/Aphox/Metamediphos or other registered Insecticides that control Aphids. Your leaves looks purple be on the lookout for Phosphorus or Magnesium deficiency. Please stick to Spraying program this indicates poor Spraying my Farmer,2021-06-28T11:33:26.000Z,look like aphid I spray methomexaphoxmetamediphos register insecticide control aphid leave look purple lookout phosphorus magnesium deficiency please stick spray program indicate poor spray farmer,"pest,usage","negative,positive,positive"
78,insects,Andrew Smith,https://twitter.com/LauraHillsLamb,The roos are for land management and crop management. Headshot.  Sheep cattle goats. All electro stunned or CBG. Mice. Most use zinc phosphate on grain. Mite aphids grubs. Insecticides. Rabbits hares. Shot. Snails/slugs. In the next district. Baits.,2024-02-13T09:23:48.000Z,roo land management crop management headshot   sheep cattle goat electro stun cbg mouse use zinc phosphate grain mite aphid grub insecticide rabbit hare shoot snailsslug next district bait,"usage,pest","neutral,neutral"
